688098 申联生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/10/28	26.43	36.80	25.45	36.73	38424865	1073266432.00
2019/10/29	31.42	31.72	26.64	26.72	32384290	950515328.00
2019/10/30	24.76	25.00	21.82	22.25	21042525	492703360.00
2019/10/31	21.62	22.04	20.33	20.78	13011400	275966880.00
2019/11/01	20.60	21.27	20.17	20.40	8218354	170170384.00
2019/11/04	20.63	21.25	20.39	20.97	9769140	204596000.00
2019/11/05	20.72	20.72	18.52	18.52	13671344	264056416.00
2019/11/06	17.96	18.51	17.38	17.51	8656313	155253888.00
2019/11/07	17.57	18.47	17.52	18.00	9483862	172173904.00
2019/11/08	17.82	18.77	17.72	17.96	8316871	153271136.00
2019/11/11	17.68	17.68	16.29	16.36	7519599	127217616.00
2019/11/12	16.49	17.00	16.27	16.74	5274660	88332968.00
2019/11/13	16.55	17.47	16.55	17.09	6042651	103718896.00
2019/11/14	16.94	17.37	16.71	16.92	4213718	72287072.00
2019/11/15	16.90	16.99	16.47	16.48	3392663	57079808.00
2019/11/18	16.60	17.07	16.53	16.57	3082411	51988368.00
2019/11/19	16.52	17.34	16.48	17.20	4051886	68989784.00
2019/11/20	16.92	17.49	16.86	17.02	4234946	72894112.00
2019/11/21	16.87	17.38	16.73	16.96	3594435	61545168.00
2019/11/22	17.08	17.17	16.18	16.23	4369342	72936288.00
2019/11/25	16.20	16.20	15.55	15.73	3741195	59449772.00
2019/11/26	15.78	15.92	15.52	15.57	2194966	34564800.00
2019/11/27	15.64	15.86	15.49	15.51	2293504	36134864.00
2019/11/28	15.57	15.84	15.45	15.59	2963493	46592388.00
2019/11/29	15.72	15.85	15.60	15.80	2685483	42467936.00
2019/12/02	15.88	15.91	15.34	15.42	3004149	47098744.00
2019/12/03	15.29	15.35	14.60	14.89	3513127	52626016.00
2019/12/04	14.80	15.11	14.66	14.82	1741065	25998758.00
2019/12/05	14.62	14.79	14.49	14.66	3405871	50098788.00
2019/12/06	14.62	14.74	14.54	14.58	1961295	28821760.00
2019/12/09	14.68	15.06	14.60	15.02	3513987	52385212.00
2019/12/10	14.84	16.85	14.81	16.84	12391471	198834672.00
2019/12/11	16.52	16.99	16.00	16.01	7416343	122110512.00
2019/12/12	16.20	16.42	15.73	15.84	3954397	64072008.00
2019/12/13	16.00	16.11	15.66	15.94	3049168	48693388.00
2019/12/16	15.95	16.22	15.83	16.07	2359475	38021864.00
2019/12/17	16.10	16.40	16.02	16.28	4663450	76018128.00
2019/12/18	16.28	17.21	16.28	16.73	7325001	123472272.00
2019/12/19	16.71	16.89	16.55	16.79	3805805	63963088.00
2019/12/20	16.90	17.51	16.71	16.71	5871984	101095328.00
2019/12/23	16.75	16.75	15.77	15.77	4472630	72797176.00
2019/12/24	16.04	16.21	15.87	16.12	2278872	36737104.00
2019/12/25	16.12	16.57	16.07	16.37	2801797	46172120.00
2019/12/26	16.28	16.80	16.28	16.68	3682306	61427380.00
2019/12/27	16.70	16.88	16.18	16.20	3587024	59620116.00
2019/12/30	16.17	16.20	15.72	16.16	2231939	35923048.00
2019/12/31	16.12	16.82	16.12	16.69	3568238	59099592.00
2020/01/02	16.86	17.00	16.55	16.91	4385672	73938896.00
2020/01/03	16.89	18.12	16.69	17.73	7591240	133062456.00
2020/01/06	17.42	18.18	17.26	17.70	6072502	107936312.00
2020/01/07	17.77	18.02	17.57	17.86	4541177	81227344.00
2020/01/08	17.79	18.26	17.48	18.12	8211460	148021200.00
2020/01/09	18.42	18.58	17.98	18.24	5884137	107823192.00
2020/01/10	18.24	20.82	18.23	19.49	12183818	237883120.00
2020/01/13	19.42	20.62	18.92	20.22	8884338	176375408.00
2020/01/14	20.07	21.39	19.82	20.22	8232887	169364064.00
2020/01/15	19.93	20.61	19.69	19.84	5450079	109177296.00
2020/01/16	19.72	20.22	19.38	19.91	5804796	115688512.00
2020/01/17	19.98	21.69	19.73	21.29	10219636	214169312.00
2020/01/20	21.21	23.19	20.73	22.33	13059142	285905376.00
2020/01/21	22.26	22.65	21.05	21.32	9080397	198296528.00
2020/01/22	21.22	21.32	19.22	20.47	7704266	157133408.00
2020/01/23	20.42	20.70	18.80	19.31	5825247	115061512.00
2020/02/03	16.90	18.22	15.82	17.27	9321972	158530464.00
2020/02/04	16.97	18.91	16.97	18.38	8060118	147238480.00
2020/02/05	18.42	20.92	18.25	20.69	10143087	196940928.00
2020/02/06	21.73	24.84	21.42	24.84	18813546	447334048.00
2020/02/07	23.81	25.12	22.52	23.42	17211347	409666816.00
2020/02/10	23.42	26.61	23.05	25.66	15019054	371246176.00
2020/02/11	24.92	25.22	22.63	22.66	10880406	260694896.00
2020/02/12	22.02	24.12	22.02	23.13	8270621	194155136.00
2020/02/13	23.15	24.39	23.12	23.35	8153683	193897328.00
2020/02/14	24.16	24.61	22.64	23.20	8003568	189618064.00
2020/02/17	23.62	24.42	23.22	23.84	7966999	191648960.00
2020/02/18	23.66	24.11	22.57	23.32	7524440	176422496.00
2020/02/19	23.14	23.31	21.92	22.04	6574450	149365696.00
2020/02/20	22.12	22.72	21.38	21.54	5275090	115908872.00
2020/02/21	21.59	21.90	21.15	21.22	4822321	103800112.00
2020/02/24	21.24	21.99	21.15	21.92	4543298	99023960.00
2020/02/25	21.40	22.80	21.17	22.51	6514097	145238080.00
2020/02/26	22.72	22.81	21.25	21.33	5484838	121713096.00
2020/02/27	21.01	21.43	19.90	20.18	5570066	114704720.00
2020/02/28	19.22	19.78	18.42	19.08	4566666	87915176.00
2020/03/02	20.22	20.58	19.79	20.46	4811247	97724376.00
2020/03/03	20.54	21.16	20.23	20.30	5385134	111622040.00
2020/03/04	20.30	20.49	19.34	19.84	3434252	68573672.00
2020/03/05	20.08	20.22	19.83	20.02	2924711	58823504.00
2020/03/06	19.77	20.80	19.71	20.38	3523032	72088752.00
2020/03/09	20.52	20.52	19.23	19.25	3407963	67465896.00
2020/03/10	18.91	19.42	18.08	19.32	3971209	74813376.00
2020/03/11	19.32	19.71	18.97	19.03	2651000	51415872.00
2020/03/12	18.72	18.90	18.12	18.31	2793068	51537500.00
2020/03/13	17.28	18.07	17.10	17.73	3506166	61780564.00
2020/03/16	18.02	18.02	16.82	16.82	3074585	54136008.00
2020/03/17	16.86	17.42	16.22	17.01	2629207	44343992.00
2020/03/18	17.08	17.83	16.95	17.13	3244863	56898304.00
2020/03/19	16.93	17.52	16.75	17.38	2649253	45592036.00
2020/03/20	17.93	17.94	17.32	17.61	2094867	37052336.00
2020/03/23	16.93	17.18	16.28	16.50	2351922	39670556.00
2020/03/24	16.80	17.07	16.24	16.75	2222234	37383316.00
2020/03/25	17.27	17.32	17.02	17.13	1885189	32489762.00
2020/03/26	16.92	17.38	16.85	17.14	2420879	41776456.00
2020/03/27	17.33	17.57	16.98	17.07	1637372	28319256.00
2020/03/30	16.89	16.89	15.92	16.20	2269463	37166796.00
2020/03/31	16.50	16.56	15.82	15.92	1434158	23175718.00
2020/04/01	16.10	16.31	15.84	16.08	1392728	22570880.00
2020/04/02	15.88	16.40	15.87	16.38	1437325	23350078.00
2020/04/03	16.39	16.59	16.32	16.46	1741638	28812654.00
2020/04/07	16.91	17.40	16.64	17.28	2425542	41475492.00
2020/04/08	17.02	17.33	16.84	17.02	1872334	32163392.00
2020/04/09	17.14	17.28	16.94	17.21	1485898	25566318.00
2020/04/10	17.22	17.24	16.51	16.51	1479208	24962196.00
2020/04/13	16.51	16.84	16.17	16.60	1014865	16886566.00
2020/04/14	16.52	16.89	16.50	16.88	1067505	18005840.00
2020/04/15	16.92	17.32	16.78	17.15	2035455	35079396.00
2020/04/16	17.07	17.83	16.92	17.62	3366866	58940128.00
2020/04/17	17.80	17.80	17.26	17.30	2263996	39750488.00
2020/04/20	17.37	17.60	17.31	17.50	1501504	26401724.00
2020/04/21	17.50	17.53	16.82	17.02	1771149	30416856.00
2020/04/22	17.00	17.36	16.84	17.28	1389282	23896972.00
2020/04/23	17.32	17.78	17.23	17.46	2433766	42924184.00
2020/04/24	17.71	18.07	17.08	17.22	3407933	60298672.00
2020/04/27	17.36	17.67	17.04	17.64	2650203	46445656.00
2020/04/28	17.37	17.37	14.97	16.08	5002061	81280256.00
2020/04/29	16.02	16.29	15.58	15.60	2378450	38086672.00
2020/04/30	15.83	16.37	15.76	16.26	2404954	38870060.00
2020/05/06	16.17	18.17	16.06	18.10	5784902	100627144.00
2020/05/07	18.10	18.58	17.72	18.06	5080235	92542752.00
2020/05/08	18.08	18.32	17.83	17.92	3600769	65358032.00
2020/05/11	18.03	18.50	18.03	18.18	3463784	63438136.00
2020/05/12	18.08	18.32	17.69	18.11	2749941	49800456.00
2020/05/13	17.92	19.38	17.84	19.11	5798723	110009520.00
2020/05/14	18.80	19.40	18.55	18.62	4125465	78728264.00
2020/05/15	18.72	19.34	18.67	19.01	3252193	62201988.00
2020/05/18	19.02	19.11	18.72	18.85	2622455	49795096.00
